ID,Value,Election Year,Party
Aland,null,NA,
Albania,null,NA,
Andorra,null,NA,
Austria,26,2017,Freedom Party
Belarus,null,NA,
Belgium,16,2019,New Flemish Alliance
Bosnia and Herzegovina,null,NA,
Bulgaria,9,2017,United Patriots
Croatia,null,NA,
Cyprus,3.7,2016,ELAM
Czech Republic,11,2017,Freedom and Direct Democracy
Denmark,8.7,2019,Danish People's Party
Estonia,17.8,2019,Conservative People's Party
Faroe Islands,null,NA,
Finland,17.5,2019,Finns Party
France,13,2017,National Rally
Germany,12.6,2017,AfD
Gibraltar,null,NA,
Greece,3.7,2019,Greek Solution
Guernsey,null,NA,
Hungary,68,2018,Fidesz and Jobbik
Iceland,null,NA,
Ireland,null,NA,
Isle of Man,null,NA,
Italy,17.4,2018,Lega Nord
Jersey,null,NA,
Kosovo,null,NA,
Latvia,null,NA,
Liechtenstein,null,NA,
Lithuania,null,NA,
Luxembourg,null,NA,
Macedonia,null,NA,
Malta,null,NA,
Moldova,null,NA,
Monaco,null,NA,
Montenegro,null,NA,
Netherlands,13,2017,Freedom Party
Norway,null,NA,
Poland,6.8,2019,Confederation
Portugal,null,NA,
Republic of Serbia,null,NA,
Romania,null,NA,
San Marino,null,NA,
Slovakia,8,2016,Our Slovakia
Slovenia,null,NA,
Spain,15,2019,Vox
Sweden,17.6,2018,Sweden Democrats
Switzerland,null,NA,
Turkey,null,NA,
Ukraine,null,NA,
United Kingdom,null,NA,
Vatican,null,NA,
